Dataset,Method,MAE (g),MAE (% of true),Bias (g),R² (sklearn),Pearson r,p-value
All_Birds,stable_mean,0.701437673212733,3.8491588552026097,-0.3688977504913073,0.49801007285711274,0.7898390836587279,4.639951507083103e-13
All_Birds,mode_estimate,0.7091071428571427,3.904373622208491,-0.3276785714285712,0.518648658180344,0.7862939331137118,6.938470905754228e-13
Filtered_Birds,stable_mean,0.4850783387733753,2.7147325830806897,-0.09017020542689055,0.7849288892533475,0.9000489928501753,1.7759735610725648e-17
Filtered_Birds,mode_estimate,0.49326086956521736,2.77635902218113,-0.04760869565217379,0.8022395014128083,0.9030003845227764,9.474169331242392e-18
