date,stable_median,stable_mode,stable_mean,stable_std,stable_count,mode_estimate,true_weight,bird_name,bird_id
2025-06-11,18.846,19.192,18.72823076923077,0.3946480494773277,52,18.93,18.5,ly2rp9,2
2025-06-12,16.532,14.904,16.66906818181818,0.8148337652617066,44,16.3,18.99,ly2rp9,2
2025-06-13,15.309,15.080000000000002,15.992150442477875,1.258905769346362,113,17.18,18.66,ly2rp9,2
2025-06-14,17.270000000000003,17.195,17.28125716234652,0.2600749092007184,1466,17.27,18.49,ly2rp9,2
2025-06-15,16.928000000000004,16.831,16.92674247311828,0.2746443596441772,1860,16.89,19.0,ly2rp9,2
2025-06-16,17.242,16.244000000000003,17.205243902439022,0.5276445669429276,41,16.65,18.75,ly2rp9,2
2025-06-17,16.940000000000005,16.607,16.976280322093608,0.4131322661273351,1987,16.69,18.47,ly2rp9,2
2025-06-18,16.613,16.57,16.635357127591366,0.2423348995853274,4679,16.62,18.43,ly2rp9,2
2025-06-19,17.026999999999997,16.43,16.94969308328292,0.3904063818325406,4959,17.1,18.48,ly2rp9,2
2025-06-20,16.844,16.862000000000002,16.80553195772521,0.2345923278419745,1987,16.89,18.91,ly2rp9,2
2025-06-11,15.640999999999996,16.133,15.51048717948718,0.4925449416734994,39,15.66,15.05,llb84b35,5
2025-06-12,15.410000000000002,14.807999999999998,15.407955555555557,0.3105967098370747,45,15.31,15.31,llb84b35,5
2025-06-13,15.5265,14.736999999999998,15.388999999999998,0.3675546217911014,6,15.06,15.12,llb84b35,5
2025-06-15,15.13,15.082,15.099312684365785,0.4951930376557938,339,15.15,14.91,llb84b35,5
2025-06-16,14.886,10.800999999999998,14.426585714285714,1.271321570659779,70,15.28,14.98,llb84b35,5
2025-06-17,15.550999999999998,15.644,15.22180928208847,0.955515342394317,1379,15.66,14.95,llb84b35,5
2025-06-18,15.2395,15.256,15.08087422892392,0.6848630382488305,2918,15.28,14.8,llb84b35,5
2025-06-19,15.097,15.138,14.897862631388184,0.4891557603108483,2759,15.13,14.99,llb84b35,5
2025-06-20,14.654,14.562,14.863623489932886,0.369544985295509,1490,14.52,14.99,llb84b35,5
2025-06-11,18.9875,18.951,19.01718918918919,0.4316639571892933,74,18.79,18.64,lp114w8rb,4
2025-06-12,18.849000000000004,19.064,18.82195,0.4183623107749111,40,18.6,18.99,lp114w8rb,4
2025-06-13,19.357,17.398000000000003,19.28981052631579,0.4449383245506922,95,19.45,19.24,lp114w8rb,4
2025-06-14,18.994999999999997,19.753,18.902810547875063,0.7201556077233684,1953,19.74,18.97,lp114w8rb,4
2025-06-15,18.401,18.380000000000003,18.44393227366966,0.5422190629036964,2894,18.38,18.91,lp114w8rb,4
2025-06-16,18.025,17.368000000000002,18.182093167701865,0.7572881865680521,161,17.8,18.82,lp114w8rb,4
2025-06-17,19.16,19.109,19.17231433033971,0.2838314530420576,2561,19.1,18.98,lp114w8rb,4
2025-06-18,18.875,18.683,18.880255490630667,0.3448498817730165,4963,18.84,18.5,lp114w8rb,4
2025-06-19,18.846,18.585,18.8972849892641,0.4116146784095225,5123,18.65,18.85,lp114w8rb,4
2025-06-20,18.601999999999997,18.597,18.518269124931205,0.4054785266466477,1817,18.61,18.64,lp114w8rb,4
2025-06-14,16.512,15.32,16.539817204301077,0.3289910777908937,93,16.45,16.79,lwrb,6
2025-06-15,16.55,16.086,16.487,0.3316544386355577,7,16.41,16.92,lwrb,6
2025-06-16,16.645999999999997,16.701,16.584642752562225,0.3943302474774646,1366,16.67,16.89,lwrb,6
2025-06-17,16.447000000000003,16.352,16.467653846153844,0.4166120259237724,598,16.39,16.58,lwrb,6
